audit_id,transaction_id,customer_id,fraud_probability,overall_risk_score,risk_category,decision
AUDT0007710,T0007710,C01639,26.88,26.88,LOW,ALLOW
AUDT0007711,T0007711,C00309,89.27,89.27,HIGH,BLOCK
AUDT0007712,T0007712,C01929,23.83,23.83,LOW,ALLOW
AUDT0007713,T0007713,C00116,32.02,32.02,LOW,ALLOW
AUDT0007714,T0007714,C00972,88.04,88.04,HIGH,BLOCK
AUDT0007715,T0007715,C00022,32.05,32.05,LOW,ALLOW
AUDT0007716,T0007716,C01056,26.5,26.5,LOW,ALLOW
AUDT0007717,T0007717,C01252,29.17,29.17,LOW,ALLOW
AUDT0007718,T0007718,C01630,22.1,22.1,LOW,ALLOW
AUDT0007719,T0007719,C01914,31.82,31.82,LOW,ALLOW
AUDT0007720,T0007720,C01824,31.14,31.14,LOW,ALLOW
AUDT0007721,T0007721,C01880,3.13,3.13,LOW,ALLOW
AUDT0007722,T0007722,C00565,26.5,26.5,LOW,ALLOW
AUDT0007723,T0007723,C00221,5.17,5.17,LOW,ALLOW
AUDT0007724,T0007724,C00382,83.96,83.96,HIGH,BLOCK
AUDT0007725,T0007725,C01500,14.04,14.04,LOW,ALLOW
AUDT0007726,T0007726,C01380,20.3,20.3,LOW,ALLOW
AUDT0007727,T0007727,C01819,5.85,5.85,LOW,ALLOW
AUDT0007728,T0007728,C00800,36.29,36.29,LOW,ALLOW
AUDT0007729,T0007729,C00355,1.26,1.26,LOW,ALLOW
AUDT0007730,T0007730,C00690,11.17,11.17,LOW,ALLOW
AUDT0007731,T0007731,C01793,6.23,6.23,LOW,ALLOW
AUDT0007732,T0007732,C00471,9.98,9.98,LOW,ALLOW
AUDT0007733,T0007733,C01749,23.89,23.89,LOW,ALLOW
AUDT0007734,T0007734,C01638,36.59,36.59,LOW,ALLOW
AUDT0007735,T0007735,C00726,20.14,20.14,LOW,ALLOW
AUDT0007736,T0007736,C00322,1.73,1.73,LOW,ALLOW
AUDT0007737,T0007737,C01554,81.51,81.51,HIGH,BLOCK
AUDT0007738,T0007738,C00027,14.2,14.2,LOW,ALLOW
AUDT0007739,T0007739,C01016,36.32,36.32,LOW,ALLOW
AUDT0007740,T0007740,C01384,82.3,82.3,HIGH,BLOCK
AUDT0007741,T0007741,C00402,21.14,21.14,LOW,ALLOW
AUDT0007742,T0007742,C01834,88.55,88.55,HIGH,BLOCK
AUDT0007743,T0007743,C00070,4.59,4.59,LOW,ALLOW
AUDT0007744,T0007744,C01075,5.11,5.11,LOW,ALLOW
AUDT0007745,T0007745,C00608,10.94,10.94,LOW,ALLOW
AUDT0007746,T0007746,C01430,23.45,23.45,LOW,ALLOW
AUDT0007747,T0007747,C00719,35.47,35.47,LOW,ALLOW
AUDT0007748,T0007748,C01935,28.43,28.43,LOW,ALLOW
AUDT0007749,T0007749,C01997,36.45,36.45,LOW,ALLOW
AUDT0007750,T0007750,C00396,29.33,29.33,LOW,ALLOW
AUDT0007751,T0007751,C00556,2.91,2.91,LOW,ALLOW
AUDT0007752,T0007752,C01659,98.47,98.47,HIGH,BLOCK
AUDT0007753,T0007753,C00967,16.41,16.41,LOW,ALLOW
AUDT0007754,T0007754,C00783,36.08,36.08,LOW,ALLOW
AUDT0007755,T0007755,C00595,31.26,31.26,LOW,ALLOW
AUDT0007756,T0007756,C01719,37.51,37.51,LOW,ALLOW
AUDT0007757,T0007757,C01635,5.01,5.01,LOW,ALLOW
AUDT0007758,T0007758,C01631,27.33,27.33,LOW,ALLOW
AUDT0007759,T0007759,C00080,29.55,29.55,LOW,ALLOW
AUDT0007760,T0007760,C00293,10.08,10.08,LOW,ALLOW
AUDT0007761,T0007761,C00112,18.85,18.85,LOW,ALLOW
AUDT0007762,T0007762,C00109,37.49,37.49,LOW,ALLOW
AUDT0007763,T0007763,C00797,9.03,9.03,LOW,ALLOW
AUDT0007764,T0007764,C00310,3.39,3.39,LOW,ALLOW
AUDT0007765,T0007765,C00419,2.1,2.1,LOW,ALLOW
AUDT0007766,T0007766,C01228,1.92,1.92,LOW,ALLOW
AUDT0007767,T0007767,C01409,6.05,6.05,LOW,ALLOW
AUDT0007768,T0007768,C01741,34.42,34.42,LOW,ALLOW
AUDT0007769,T0007769,C00207,89.21,89.21,HIGH,BLOCK
AUDT0007770,T0007770,C00266,7.43,7.43,LOW,ALLOW
AUDT0007771,T0007771,C00556,36.55,36.55,LOW,ALLOW
AUDT0007772,T0007772,C00925,18.39,18.39,LOW,ALLOW
AUDT0007773,T0007773,C00734,32.31,32.31,LOW,ALLOW
AUDT0007774,T0007774,C01510,97.33,97.33,HIGH,BLOCK
AUDT0007775,T0007775,C01286,31.95,31.95,LOW,ALLOW
AUDT0007776,T0007776,C01696,2.11,2.11,LOW,ALLOW
AUDT0007777,T0007777,C01707,20.79,20.79,LOW,ALLOW
AUDT0007778,T0007778,C00981,17.06,17.06,LOW,ALLOW
AUDT0007779,T0007779,C00721,22.54,22.54,LOW,ALLOW
AUDT0007780,T0007780,C00400,28.36,28.36,LOW,ALLOW
AUDT0007781,T0007781,C01882,4.2,4.2,LOW,ALLOW
AUDT0007782,T0007782,C00037,32.27,32.27,LOW,ALLOW
AUDT0007783,T0007783,C00336,39.84,39.84,LOW,ALLOW
AUDT0007784,T0007784,C01247,22.71,22.71,LOW,ALLOW
AUDT0007785,T0007785,C01542,2.72,2.72,LOW,ALLOW
AUDT0007786,T0007786,C01315,26.65,26.65,LOW,ALLOW
AUDT0007787,T0007787,C00613,12.01,12.01,LOW,ALLOW
AUDT0007788,T0007788,C00271,22.35,22.35,LOW,ALLOW
AUDT0007789,T0007789,C01223,18.64,18.64,LOW,ALLOW
AUDT0007790,T0007790,C00393,25.86,25.86,LOW,ALLOW
AUDT0007791,T0007791,C01452,26.56,26.56,LOW,ALLOW
AUDT0007792,T0007792,C01589,13.66,13.66,LOW,ALLOW
AUDT0007793,T0007793,C01672,2.67,2.67,LOW,ALLOW
AUDT0007794,T0007794,C00013,22.64,22.64,LOW,ALLOW
AUDT0007795,T0007795,C00529,7.34,7.34,LOW,ALLOW
AUDT0007796,T0007796,C00610,15.69,15.69,LOW,ALLOW
AUDT0007797,T0007797,C01549,11.68,11.68,LOW,ALLOW
AUDT0007798,T0007798,C00346,21.62,21.62,LOW,ALLOW
AUDT0007799,T0007799,C00157,4.64,4.64,LOW,ALLOW
AUDT0007800,T0007800,C01109,14.65,14.65,LOW,ALLOW
AUDT0007801,T0007801,C00382,81.82,81.82,HIGH,BLOCK
AUDT0007802,T0007802,C01240,1.13,1.13,LOW,ALLOW
AUDT0007803,T0007803,C00847,23.47,23.47,LOW,ALLOW
AUDT0007804,T0007804,C00190,15.28,15.28,LOW,ALLOW
AUDT0007805,T0007805,C00066,18.76,18.76,LOW,ALLOW
AUDT0007806,T0007806,C01910,18.83,18.83,LOW,ALLOW
AUDT0007807,T0007807,C00106,11.6,11.6,LOW,ALLOW
AUDT0007808,T0007808,C00170,38.31,38.31,LOW,ALLOW
AUDT0007809,T0007809,C01954,19.29,19.29,LOW,ALLOW
AUDT0007810,T0007810,C01053,27.0,27.0,LOW,ALLOW
AUDT0007811,T0007811,C00534,7.91,7.91,LOW,ALLOW
AUDT0007812,T0007812,C01415,20.22,20.22,LOW,ALLOW
AUDT0007813,T0007813,C01197,10.56,10.56,LOW,ALLOW
AUDT0007814,T0007814,C00107,32.5,32.5,LOW,ALLOW
AUDT0007815,T0007815,C00101,83.67,83.67,HIGH,BLOCK
AUDT0007816,T0007816,C01601,5.86,5.86,LOW,ALLOW
AUDT0007817,T0007817,C00303,33.4,33.4,LOW,ALLOW
AUDT0007818,T0007818,C01403,17.3,17.3,LOW,ALLOW
AUDT0007819,T0007819,C00282,25.02,25.02,LOW,ALLOW
AUDT0007820,T0007820,C00284,32.36,32.36,LOW,ALLOW
AUDT0007821,T0007821,C00748,12.02,12.02,LOW,ALLOW
AUDT0007822,T0007822,C01509,28.63,28.63,LOW,ALLOW
AUDT0007823,T0007823,C00755,23.81,23.81,LOW,ALLOW
AUDT0007824,T0007824,C00805,22.88,22.88,LOW,ALLOW
AUDT0007825,T0007825,C00927,70.42,70.42,HIGH,BLOCK
AUDT0007826,T0007826,C01014,21.58,21.58,LOW,ALLOW
AUDT0007827,T0007827,C01418,4.99,4.99,LOW,ALLOW
AUDT0007828,T0007828,C01052,8.2,8.2,LOW,ALLOW
AUDT0007829,T0007829,C01012,12.02,12.02,LOW,ALLOW
AUDT0007830,T0007830,C00480,25.0,25.0,LOW,ALLOW
AUDT0007831,T0007831,C01229,7.64,7.64,LOW,ALLOW
AUDT0007832,T0007832,C00217,2.99,2.99,LOW,ALLOW
AUDT0007833,T0007833,C01062,1.4,1.4,LOW,ALLOW
AUDT0007834,T0007834,C01985,8.17,8.17,LOW,ALLOW
AUDT0007835,T0007835,C00709,16.29,16.29,LOW,ALLOW
AUDT0007836,T0007836,C01102,10.23,10.23,LOW,ALLOW
AUDT0007837,T0007837,C01162,21.54,21.54,LOW,ALLOW
AUDT0007838,T0007838,C01498,9.06,9.06,LOW,ALLOW
AUDT0007839,T0007839,C01497,1.45,1.45,LOW,ALLOW
AUDT0007840,T0007840,C00426,24.02,24.02,LOW,ALLOW
AUDT0007841,T0007841,C01305,12.33,12.33,LOW,ALLOW
AUDT0007842,T0007842,C01912,23.28,23.28,LOW,ALLOW
AUDT0007843,T0007843,C00343,87.95,87.95,HIGH,BLOCK
AUDT0007844,T0007844,C00308,22.36,22.36,LOW,ALLOW
AUDT0007845,T0007845,C01078,12.31,12.31,LOW,ALLOW
AUDT0007846,T0007846,C00389,2.27,2.27,LOW,ALLOW
AUDT0007847,T0007847,C00242,4.35,4.35,LOW,ALLOW
AUDT0007848,T0007848,C01827,11.77,11.77,LOW,ALLOW
AUDT0007849,T0007849,C00104,13.55,13.55,LOW,ALLOW
AUDT0007850,T0007850,C00145,27.74,27.74,LOW,ALLOW
AUDT0007851,T0007851,C01325,38.13,38.13,LOW,ALLOW
AUDT0007852,T0007852,C00241,16.89,16.89,LOW,ALLOW
AUDT0007853,T0007853,C00943,23.73,23.73,LOW,ALLOW
AUDT0007854,T0007854,C01901,28.69,28.69,LOW,ALLOW
AUDT0007855,T0007855,C00867,17.21,17.21,LOW,ALLOW
AUDT0007856,T0007856,C00540,13.46,13.46,LOW,ALLOW
AUDT0007857,T0007857,C00933,36.24,36.24,LOW,ALLOW
AUDT0007858,T0007858,C01406,21.48,21.48,LOW,ALLOW
AUDT0007859,T0007859,C01880,14.31,14.31,LOW,ALLOW
AUDT0007860,T0007860,C01363,18.93,18.93,LOW,ALLOW
AUDT0007861,T0007861,C00668,4.92,4.92,LOW,ALLOW
AUDT0007862,T0007862,C01253,19.13,19.13,LOW,ALLOW
AUDT0007863,T0007863,C00942,16.83,16.83,LOW,ALLOW
AUDT0007864,T0007864,C00831,14.07,14.07,LOW,ALLOW
AUDT0007865,T0007865,C01762,16.37,16.37,LOW,ALLOW
AUDT0007866,T0007866,C01462,18.66,18.66,LOW,ALLOW
AUDT0007867,T0007867,C01744,28.4,28.4,LOW,ALLOW
AUDT0007868,T0007868,C01353,24.93,24.93,LOW,ALLOW
AUDT0007869,T0007869,C00622,7.72,7.72,LOW,ALLOW
AUDT0007870,T0007870,C00784,21.95,21.95,LOW,ALLOW
AUDT0007871,T0007871,C01982,28.49,28.49,LOW,ALLOW
AUDT0007872,T0007872,C01627,17.1,17.1,LOW,ALLOW
AUDT0007873,T0007873,C00810,34.26,34.26,LOW,ALLOW
AUDT0007874,T0007874,C01040,11.55,11.55,LOW,ALLOW
AUDT0007875,T0007875,C00408,29.9,29.9,LOW,ALLOW
AUDT0007876,T0007876,C00673,23.26,23.26,LOW,ALLOW
AUDT0007877,T0007877,C01290,34.42,34.42,LOW,ALLOW
AUDT0007878,T0007878,C00635,1.43,1.43,LOW,ALLOW
AUDT0007879,T0007879,C00284,27.34,27.34,LOW,ALLOW
AUDT0007880,T0007880,C00710,22.51,22.51,LOW,ALLOW
AUDT0007881,T0007881,C00291,39.02,39.02,LOW,ALLOW
AUDT0007882,T0007882,C01060,38.64,38.64,LOW,ALLOW
AUDT0007883,T0007883,C01803,12.61,12.61,LOW,ALLOW
AUDT0007884,T0007884,C00402,32.96,32.96,LOW,ALLOW
AUDT0007885,T0007885,C01027,38.89,38.89,LOW,ALLOW
AUDT0007886,T0007886,C01437,4.7,4.7,LOW,ALLOW
AUDT0007887,T0007887,C01788,8.48,8.48,LOW,ALLOW
AUDT0007888,T0007888,C00310,16.16,16.16,LOW,ALLOW
AUDT0007889,T0007889,C00816,23.67,23.67,LOW,ALLOW
AUDT0007890,T0007890,C01615,20.53,20.53,LOW,ALLOW
AUDT0007891,T0007891,C00940,14.82,14.82,LOW,ALLOW
AUDT0007892,T0007892,C00221,83.26,83.26,HIGH,BLOCK
AUDT0007893,T0007893,C00491,32.62,32.62,LOW,ALLOW
AUDT0007894,T0007894,C00385,19.62,19.62,LOW,ALLOW
AUDT0007895,T0007895,C00612,21.39,21.39,LOW,ALLOW
AUDT0007896,T0007896,C01503,2.94,2.94,LOW,ALLOW
AUDT0007897,T0007897,C01646,94.08,94.08,HIGH,BLOCK
AUDT0007898,T0007898,C00450,26.32,26.32,LOW,ALLOW
AUDT0007899,T0007899,C01655,29.5,29.5,LOW,ALLOW
AUDT0007900,T0007900,C01293,2.95,2.95,LOW,ALLOW
AUDT0007901,T0007901,C00199,31.02,31.02,LOW,ALLOW
AUDT0007902,T0007902,C01807,89.38,89.38,HIGH,BLOCK
AUDT0007903,T0007903,C00182,1.8,1.8,LOW,ALLOW
AUDT0007904,T0007904,C00634,10.71,10.71,LOW,ALLOW
AUDT0007905,T0007905,C01123,4.7,4.7,LOW,ALLOW
AUDT0007906,T0007906,C00151,15.9,15.9,LOW,ALLOW
AUDT0007907,T0007907,C00164,15.81,15.81,LOW,ALLOW
AUDT0007908,T0007908,C00306,4.19,4.19,LOW,ALLOW
AUDT0007909,T0007909,C01243,12.13,12.13,LOW,ALLOW
AUDT0007910,T0007910,C01616,22.47,22.47,LOW,ALLOW
AUDT0007911,T0007911,C00709,37.63,37.63,LOW,ALLOW
AUDT0007912,T0007912,C01541,8.6,8.6,LOW,ALLOW
AUDT0007913,T0007913,C00844,26.57,26.57,LOW,ALLOW
AUDT0007914,T0007914,C01970,34.75,34.75,LOW,ALLOW
AUDT0007915,T0007915,C01375,33.46,33.46,LOW,ALLOW
AUDT0007916,T0007916,C01824,12.75,12.75,LOW,ALLOW
AUDT0007917,T0007917,C00242,31.0,31.0,LOW,ALLOW
AUDT0007918,T0007918,C01597,26.54,26.54,LOW,ALLOW
AUDT0007919,T0007919,C01068,37.17,37.17,LOW,ALLOW
AUDT0007920,T0007920,C01072,23.76,23.76,LOW,ALLOW
AUDT0007921,T0007921,C00176,27.99,27.99,LOW,ALLOW
AUDT0007922,T0007922,C01109,16.69,16.69,LOW,ALLOW
AUDT0007923,T0007923,C00349,9.69,9.69,LOW,ALLOW
AUDT0007924,T0007924,C01075,10.03,10.03,LOW,ALLOW
AUDT0007925,T0007925,C01984,38.08,38.08,LOW,ALLOW
AUDT0007926,T0007926,C01922,16.63,16.63,LOW,ALLOW
AUDT0007927,T0007927,C00374,36.04,36.04,LOW,ALLOW
AUDT0007928,T0007928,C00412,33.06,33.06,LOW,ALLOW
AUDT0007929,T0007929,C00459,25.76,25.76,LOW,ALLOW
AUDT0007930,T0007930,C00402,38.69,38.69,LOW,ALLOW
AUDT0007931,T0007931,C00791,20.89,20.89,LOW,ALLOW
AUDT0007932,T0007932,C00987,32.93,32.93,LOW,ALLOW
AUDT0007933,T0007933,C01170,11.52,11.52,LOW,ALLOW
AUDT0007934,T0007934,C01276,33.32,33.32,LOW,ALLOW
AUDT0007935,T0007935,C00701,26.24,26.24,LOW,ALLOW
AUDT0007936,T0007936,C00512,30.81,30.81,LOW,ALLOW
AUDT0007937,T0007937,C00257,3.61,3.61,LOW,ALLOW
AUDT0007938,T0007938,C00881,5.12,5.12,LOW,ALLOW
AUDT0007939,T0007939,C01302,21.17,21.17,LOW,ALLOW
AUDT0007940,T0007940,C01199,35.9,35.9,LOW,ALLOW
AUDT0007941,T0007941,C00603,13.93,13.93,LOW,ALLOW
AUDT0007942,T0007942,C01858,27.77,27.77,LOW,ALLOW
AUDT0007943,T0007943,C00132,20.38,20.38,LOW,ALLOW
AUDT0007944,T0007944,C00247,10.39,10.39,LOW,ALLOW
AUDT0007945,T0007945,C00481,8.92,8.92,LOW,ALLOW
AUDT0007946,T0007946,C01759,16.3,16.3,LOW,ALLOW
AUDT0007947,T0007947,C01244,94.62,94.62,HIGH,BLOCK
AUDT0007948,T0007948,C00473,16.16,16.16,LOW,ALLOW
AUDT0007949,T0007949,C00345,1.71,1.71,LOW,ALLOW
AUDT0007950,T0007950,C01137,25.75,25.75,LOW,ALLOW
AUDT0007951,T0007951,C01991,24.23,24.23,LOW,ALLOW
AUDT0007952,T0007952,C01137,14.52,14.52,LOW,ALLOW
AUDT0007953,T0007953,C01718,7.39,7.39,LOW,ALLOW
AUDT0007954,T0007954,C00648,9.55,9.55,LOW,ALLOW
AUDT0007955,T0007955,C00581,4.75,4.75,LOW,ALLOW
AUDT0007956,T0007956,C01485,31.55,31.55,LOW,ALLOW
AUDT0007957,T0007957,C00055,21.77,21.77,LOW,ALLOW
AUDT0007958,T0007958,C00493,11.93,11.93,LOW,ALLOW
AUDT0007959,T0007959,C00488,26.56,26.56,LOW,ALLOW
AUDT0007960,T0007960,C01098,7.41,7.41,LOW,ALLOW
AUDT0007961,T0007961,C01244,34.34,34.34,LOW,ALLOW
AUDT0007962,T0007962,C00650,9.63,9.63,LOW,ALLOW
AUDT0007963,T0007963,C01560,10.18,10.18,LOW,ALLOW
AUDT0007964,T0007964,C01649,32.93,32.93,LOW,ALLOW
AUDT0007965,T0007965,C01672,6.68,6.68,LOW,ALLOW
AUDT0007966,T0007966,C01452,32.28,32.28,LOW,ALLOW
AUDT0007967,T0007967,C00264,84.46,84.46,HIGH,BLOCK
AUDT0007968,T0007968,C00107,24.79,24.79,LOW,ALLOW
AUDT0007969,T0007969,C01689,16.07,16.07,LOW,ALLOW
AUDT0007970,T0007970,C00603,39.97,39.97,LOW,ALLOW
AUDT0007971,T0007971,C01012,16.37,16.37,LOW,ALLOW
AUDT0007972,T0007972,C00994,19.7,19.7,LOW,ALLOW
AUDT0007973,T0007973,C00319,34.5,34.5,LOW,ALLOW
AUDT0007974,T0007974,C00607,15.02,15.02,LOW,ALLOW
AUDT0007975,T0007975,C00553,12.94,12.94,LOW,ALLOW
AUDT0007976,T0007976,C01845,21.66,21.66,LOW,ALLOW
AUDT0007977,T0007977,C01207,34.68,34.68,LOW,ALLOW
AUDT0007978,T0007978,C00837,9.2,9.2,LOW,ALLOW
AUDT0007979,T0007979,C00111,21.12,21.12,LOW,ALLOW
AUDT0007980,T0007980,C00444,13.77,13.77,LOW,ALLOW
AUDT0007981,T0007981,C01178,29.48,29.48,LOW,ALLOW
AUDT0007982,T0007982,C01116,32.78,32.78,LOW,ALLOW
AUDT0007983,T0007983,C01162,20.38,20.38,LOW,ALLOW
AUDT0007984,T0007984,C00498,34.55,34.55,LOW,ALLOW
AUDT0007985,T0007985,C00549,9.63,9.63,LOW,ALLOW
AUDT0007986,T0007986,C00140,19.98,19.98,LOW,ALLOW
AUDT0007987,T0007987,C00989,26.18,26.18,LOW,ALLOW
AUDT0007988,T0007988,C01237,21.99,21.99,LOW,ALLOW
AUDT0007989,T0007989,C00465,4.81,4.81,LOW,ALLOW
AUDT0007990,T0007990,C00706,74.03,74.03,HIGH,BLOCK
AUDT0007991,T0007991,C00221,19.62,19.62,LOW,ALLOW
AUDT0007992,T0007992,C01665,87.31,87.31,HIGH,BLOCK
AUDT0007993,T0007993,C01183,3.71,3.71,LOW,ALLOW
AUDT0007994,T0007994,C00262,75.51,75.51,HIGH,BLOCK
AUDT0007995,T0007995,C00513,7.66,7.66,LOW,ALLOW
AUDT0007996,T0007996,C00317,77.77,77.77,HIGH,BLOCK
AUDT0007997,T0007997,C01354,27.41,27.41,LOW,ALLOW
AUDT0007998,T0007998,C00905,36.6,36.6,LOW,ALLOW
AUDT0007999,T0007999,C01025,28.45,28.45,LOW,ALLOW
AUDT0008000,T0008000,C00302,12.42,12.42,LOW,ALLOW
AUDT0008001,T0008001,C01788,28.02,28.02,LOW,ALLOW
AUDT0008002,T0008002,C01175,84.5,84.5,HIGH,BLOCK
AUDT0008003,T0008003,C00564,29.16,29.16,LOW,ALLOW
AUDT0008004,T0008004,C01534,1.36,1.36,LOW,ALLOW
AUDT0008005,T0008005,C01182,15.39,15.39,LOW,ALLOW
AUDT0008006,T0008006,C01192,17.89,17.89,LOW,ALLOW
AUDT0008007,T0008007,C00508,24.72,24.72,LOW,ALLOW
AUDT0008008,T0008008,C01290,23.59,23.59,LOW,ALLOW
AUDT0008009,T0008009,C00496,34.25,34.25,LOW,ALLOW
AUDT0008010,T0008010,C01085,39.98,39.98,LOW,ALLOW
AUDT0008011,T0008011,C01286,18.49,18.49,LOW,ALLOW
AUDT0008012,T0008012,C01192,21.08,21.08,LOW,ALLOW
AUDT0008013,T0008013,C00020,85.26,85.26,HIGH,BLOCK
AUDT0008014,T0008014,C01452,4.61,4.61,LOW,ALLOW
AUDT0008015,T0008015,C00512,22.12,22.12,LOW,ALLOW
AUDT0008016,T0008016,C00853,34.39,34.39,LOW,ALLOW
AUDT0008017,T0008017,C00377,26.91,26.91,LOW,ALLOW
AUDT0008018,T0008018,C01419,12.21,12.21,LOW,ALLOW
AUDT0008019,T0008019,C00425,73.23,73.23,HIGH,BLOCK
AUDT0008020,T0008020,C00232,26.52,26.52,LOW,ALLOW
AUDT0008021,T0008021,C01574,7.94,7.94,LOW,ALLOW
AUDT0008022,T0008022,C01261,24.62,24.62,LOW,ALLOW
AUDT0008023,T0008023,C01136,35.24,35.24,LOW,ALLOW
AUDT0008024,T0008024,C01028,8.6,8.6,LOW,ALLOW
AUDT0008025,T0008025,C00372,15.01,15.01,LOW,ALLOW
AUDT0008026,T0008026,C01913,28.99,28.99,LOW,ALLOW
AUDT0008027,T0008027,C01122,7.27,7.27,LOW,ALLOW
AUDT0008028,T0008028,C01079,30.81,30.81,LOW,ALLOW
AUDT0008029,T0008029,C00001,20.27,20.27,LOW,ALLOW
AUDT0008030,T0008030,C01344,34.71,34.71,LOW,ALLOW
AUDT0008031,T0008031,C01513,22.63,22.63,LOW,ALLOW
AUDT0008032,T0008032,C01256,2.25,2.25,LOW,ALLOW
AUDT0008033,T0008033,C00825,17.2,17.2,LOW,ALLOW
AUDT0008034,T0008034,C00853,25.33,25.33,LOW,ALLOW
AUDT0008035,T0008035,C00788,5.09,5.09,LOW,ALLOW
AUDT0008036,T0008036,C01346,10.46,10.46,LOW,ALLOW
AUDT0008037,T0008037,C00105,6.81,6.81,LOW,ALLOW
AUDT0008038,T0008038,C00069,10.18,10.18,LOW,ALLOW
AUDT0008039,T0008039,C00183,19.19,19.19,LOW,ALLOW
AUDT0008040,T0008040,C00127,36.91,36.91,LOW,ALLOW
AUDT0008041,T0008041,C00458,11.93,11.93,LOW,ALLOW
AUDT0008042,T0008042,C00131,4.04,4.04,LOW,ALLOW
AUDT0008043,T0008043,C00696,18.73,18.73,LOW,ALLOW
AUDT0008044,T0008044,C00862,17.71,17.71,LOW,ALLOW
AUDT0008045,T0008045,C01561,38.88,38.88,LOW,ALLOW
AUDT0008046,T0008046,C00058,9.88,9.88,LOW,ALLOW
AUDT0008047,T0008047,C00483,15.81,15.81,LOW,ALLOW
AUDT0008048,T0008048,C00517,37.47,37.47,LOW,ALLOW
AUDT0008049,T0008049,C00214,7.72,7.72,LOW,ALLOW
AUDT0008050,T0008050,C00592,33.31,33.31,LOW,ALLOW
AUDT0008051,T0008051,C00120,14.34,14.34,LOW,ALLOW
AUDT0008052,T0008052,C00533,10.13,10.13,LOW,ALLOW
AUDT0008053,T0008053,C01830,38.58,38.58,LOW,ALLOW
AUDT0008054,T0008054,C00533,32.45,32.45,LOW,ALLOW
AUDT0008055,T0008055,C01899,35.67,35.67,LOW,ALLOW
AUDT0008056,T0008056,C01929,17.84,17.84,LOW,ALLOW
AUDT0008057,T0008057,C00244,15.83,15.83,LOW,ALLOW
AUDT0008058,T0008058,C01762,91.7,91.7,HIGH,BLOCK
AUDT0008059,T0008059,C01897,3.59,3.59,LOW,ALLOW
AUDT0008060,T0008060,C01569,4.19,4.19,LOW,ALLOW
AUDT0008061,T0008061,C01526,4.42,4.42,LOW,ALLOW
AUDT0008062,T0008062,C00082,19.05,19.05,LOW,ALLOW
AUDT0008063,T0008063,C01904,35.18,35.18,LOW,ALLOW
AUDT0008064,T0008064,C01757,12.87,12.87,LOW,ALLOW
AUDT0008065,T0008065,C01972,21.55,21.55,LOW,ALLOW
AUDT0008066,T0008066,C01963,35.86,35.86,LOW,ALLOW
AUDT0008067,T0008067,C00426,35.72,35.72,LOW,ALLOW
AUDT0008068,T0008068,C00946,9.34,9.34,LOW,ALLOW
AUDT0008069,T0008069,C00635,83.52,83.52,HIGH,BLOCK
AUDT0008070,T0008070,C00380,78.84,78.84,HIGH,BLOCK
AUDT0008071,T0008071,C01918,85.72,85.72,HIGH,BLOCK
AUDT0008072,T0008072,C01533,1.53,1.53,LOW,ALLOW
AUDT0008073,T0008073,C00366,3.32,3.32,LOW,ALLOW
AUDT0008074,T0008074,C00409,21.49,21.49,LOW,ALLOW
AUDT0008075,T0008075,C01264,11.68,11.68,LOW,ALLOW
AUDT0008076,T0008076,C01172,2.97,2.97,LOW,ALLOW
AUDT0008077,T0008077,C01571,13.82,13.82,LOW,ALLOW
AUDT0008078,T0008078,C01839,16.09,16.09,LOW,ALLOW
AUDT0008079,T0008079,C01745,13.62,13.62,LOW,ALLOW
AUDT0008080,T0008080,C01737,31.65,31.65,LOW,ALLOW
AUDT0008081,T0008081,C01903,25.79,25.79,LOW,ALLOW
AUDT0008082,T0008082,C00355,23.48,23.48,LOW,ALLOW
AUDT0008083,T0008083,C00139,2.81,2.81,LOW,ALLOW
AUDT0008084,T0008084,C01388,20.84,20.84,LOW,ALLOW
AUDT0008085,T0008085,C00487,10.83,10.83,LOW,ALLOW
AUDT0008086,T0008086,C00883,39.42,39.42,LOW,ALLOW
AUDT0008087,T0008087,C00029,39.54,39.54,LOW,ALLOW
AUDT0008088,T0008088,C01034,11.84,11.84,LOW,ALLOW
AUDT0008089,T0008089,C01797,19.59,19.59,LOW,ALLOW
AUDT0008090,T0008090,C01201,21.12,21.12,LOW,ALLOW
AUDT0008091,T0008091,C00539,30.14,30.14,LOW,ALLOW
AUDT0008092,T0008092,C01348,8.84,8.84,LOW,ALLOW
AUDT0008093,T0008093,C00673,5.21,5.21,LOW,ALLOW
AUDT0008094,T0008094,C00349,94.06,94.06,HIGH,BLOCK
AUDT0008095,T0008095,C00168,28.71,28.71,LOW,ALLOW
AUDT0008096,T0008096,C01748,8.92,8.92,LOW,ALLOW
AUDT0008097,T0008097,C00053,35.26,35.26,LOW,ALLOW
AUDT0008098,T0008098,C00681,2.92,2.92,LOW,ALLOW
AUDT0008099,T0008099,C00196,75.65,75.65,HIGH,BLOCK
AUDT0008100,T0008100,C01589,22.17,22.17,LOW,ALLOW
AUDT0008101,T0008101,C00176,8.38,8.38,LOW,ALLOW
AUDT0008102,T0008102,C00290,30.25,30.25,LOW,ALLOW
AUDT0008103,T0008103,C01914,80.44,80.44,HIGH,BLOCK
AUDT0008104,T0008104,C00952,7.98,7.98,LOW,ALLOW
AUDT0008105,T0008105,C00466,12.55,12.55,LOW,ALLOW
AUDT0008106,T0008106,C01965,5.38,5.38,LOW,ALLOW
